timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1690480931078,6074,get_trade.promos,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-265,text,false,,3145,0,2600,2600,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,0,0,4580
1690480931928,5211,get_trade.promos,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-2007,text,false,,3145,0,2600,2600,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,0,0,4027
1690480931294,5840,get_trade.promos,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-631,text,false,,3145,0,2600,2600,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,0,0,4450
1690480931590,5624,get_trade.promos,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-1173,text,false,,3145,0,2600,2600,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,0,0,4107
1690480931365,5547,get_trade.promos,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-800,text,false,,3145,0,2600,2600,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,0,0,4412
1690480932077,5168,get_trade.promos,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-2321,text,false,,3145,0,2600,2600,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,0,0,3613
1690480931361,5893,get_trade.promos,200,OK,Thread Group 1-832,text,true,,6263,1283,2599,2599,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,5372,0,5223
1690480931256,5998,get_trade.promos,200,OK,Thread Group 1-503,text,true,,6266,1283,2599,2599,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,5847,0,5049
1690480931494,5760,get_trade.promos,200,OK,Thread Group 1-1119,text,true,,6263,1283,2599,2599,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,5240,0,4125
1690480931393,5861,get_trade.promos,200,OK,Thread Group 1-954,text,true,,6262,1283,2599,2599,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,5340,0,5309
1690480931436,5818,get_trade.promos,200,OK,Thread Group 1-1046,text,true,,6262,1283,2599,2599,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,5292,0,5141
1690480931343,5911,get_trade.promos,200,OK,Thread Group 1-749,text,true,,6262,1283,2599,2599,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,5391,0,5004
1690480931672,5584,get_trade.promos,200,OK,Thread Group 1-1335,text,true,,6264,1283,2594,2594,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,5061,0,4926
1690480931145,6112,get_trade.promos,200,OK,Thread Group 1-367,text,true,,6262,1283,2593,2593,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,5583,0,5438
1690480932113,5144,get_trade.promos,200,OK,Thread Group 1-2442,text,true,,6264,1283,2593,2593,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,4622,0,4379
1690480931084,6174,get_trade.promos,200,OK,Thread Group 1-257,text,true,,6262,1283,2592,2592,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,5651,0,5542
1690480931777,5481,get_trade.promos,200,OK,Thread Group 1-1616,text,true,,6266,1283,2592,2592,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,5480,0,5228
1690480932152,5106,get_trade.promos,200,OK,Thread Group 1-2585,text,true,,6262,1283,2592,2592,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,4586,0,4397
1690480931623,5635,get_trade.promos,200,OK,Thread Group 1-1216,text,true,,6263,1283,2591,2591,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,5115,0,4900
1690480931396,5862,get_trade.promos,200,OK,Thread Group 1-964,text,true,,6262,1283,2590,2590,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,5345,0,5176
1690480931076,6183,get_trade.promos,200,OK,Thread Group 1-37,text,true,,6262,1283,2590,2590,https://api.aladinmall.id/rest/v1/trade.promos?select=*%2Cpromo_applied_product_variants%28*%29&end_date=gte.2023-07-26+06%3A50%3A50&status=eq.true,5684,0,5581
