timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1690480630913,9812,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-1837,text,false,,3145,0,2279,2279,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9206
1690480630113,10612,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-206,text,false,,3145,0,2279,2279,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,10039
1690480630588,10163,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-1133,text,false,,3145,0,2188,2188,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9627
1690480630117,10608,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-233,text,false,,3145,0,2279,2279,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9907
1690480630401,10350,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-730,text,false,,3145,0,2188,2188,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9820
1690480630688,10039,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-1213,text,false,,3145,0,2188,2188,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9468
1690480630324,10401,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-582,text,false,,3145,0,2279,2279,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9860
1690480630116,10635,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-109,text,false,,3145,0,2181,2181,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,10086
1690480630839,9885,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-1564,text,false,,3145,0,2279,2279,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9344
1690480630885,9842,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-1731,text,false,,3145,0,2179,2179,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9297
1690480630327,10398,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-589,text,false,,3145,0,2279,2279,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9850
1690480631097,9628,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-2406,text,false,,3145,0,2279,2279,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9059
1690480630936,9816,get_trade.shipping_providers,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-1928,text,false,,3145,0,2175,2175,https://api.aladinmall.id/rest/v1/trade.shipping_providers?select=*&status=eq.true,0,0,9120
